poi_id,name,type,city,source_image_url
53,秋果四合院酒店(北京王府井协和医院店),酒店,北京,http://p0.meituan.net/tdchoteldark/64ac7792f470dfbb0612e5b13592c41a1139554.jpg%40300w_1e_1l%7Cwatermark%3D0
54,秋果酒店(北京站同仁医院崇文门地铁站店),酒店,北京,http://p0.meituan.net/tdchotel/eb8885860a066dd1cc140e1416cb00481384131.jpg%40300w_1e_1l%7Cwatermark%3D0
55,北京东直门雅辰悦居酒店,酒店,北京,http://p0.meituan.net/tdchoteldark/8ac65ee63872239bf61d336f9c028fbd1131243.jpg%40300w_1e_1l%7Cwatermark%3D0
56,7天优品(北京鼓楼后海店),酒店,北京,http://p0.meituan.net/hotelbiz/21cdeb468c002f60d70ef5d7f75a5e19192262.jpg%40300w_1e_1l%7Cwatermark%3D0
57,速8精选酒店(北京前门广渠门内地铁站店),酒店,北京,https://p0.meituan.net/tdchoteldark/8db309bfedb838065dfc7a0a418fec1f520816.jpg%401035w_585h_1e_1c_1l_80q%7Cwatermark%3D0
58,时光机快捷酒店(协和医院店),酒店,北京,http://p1.meituan.net/hotelbiz/c7b25b6bc62f6cacedf8265642ba1344178014.jpg%40300w_1e_1l%7Cwatermark%3D0
59,喆·啡酒店(北京南站天坛南门店),酒店,北京,http://p1.meituan.net/tdchoteldark/ff93c30e1333d181062e940157ebc0202931971.jpg%40300w_1e_1l%7Cwatermark%3D0
60,桔子酒店(北京天坛东门店),酒店,北京,http://p0.meituan.net/tdchoteldark/fef34301002ced7e01c9643e5944456b2338363.jpg%40300w_1e_1l%7Cwatermark%3D0
61,北京玺院茗园四合院(崇文门店),酒店,北京,http://p0.meituan.net/tdchoteldark/d8b94651bcc7fc925debe8e4671b17cc86336.png%40300w_1e_1l%7Cwatermark%3D0
62,桔子水晶北京天安门王府井酒店,酒店,北京,http://p0.meituan.net/tdchoteldark/5cc434f2f20b3212e3ee4970087554eb18356605.jpg%40300w_1e_1l%7Cwatermark%3D0
63,北京港澳中心瑞士酒店,酒店,北京,http://p0.meituan.net/tdchoteldark/33940c0442886b8cabed460f49b21b6d8180499.jpg%40300w_1e_1l%7Cwatermark%3D0
64,桔子水晶北京王府井大街酒店,酒店,北京,http://p0.meituan.net/tdchoteldark/661312d51b26ef9fea4f793db85259be749804.jpg%40300w_1e_1l%7Cwatermark%3D0
65,北京静泊酒店,酒店,北京,http://p1.meituan.net/hotelbiz/57115ade056550c0b95b1def228617641351368.jpg%40300w_1e_1l%7Cwatermark%3D0
66,京能酒店和风景里四合院酒店(西单金融街店),酒店,北京,http://p1.meituan.net/poipicadd/4129e2343240f622df5ef2c65d6ef72a562652.jpg%40300w_1e_1l%7Cwatermark%3D0
67,7天酒店·北京金融街阜外医院店,酒店,北京,http://p1.meituan.net/tdchoteldark/a80254b74a4728105f28b2d4b2468369335019.jpg%40300w_1e_1l%7Cwatermark%3D0
68,秋果简居酒店(北京广安门店),酒店,北京,http://p0.meituan.net/tdchotel/e7921394af172e222a7f5aca084cabb31831907.jpg%40300w_1e_1l%7Cwatermark%3D0
69,桔子酒店(北京西站店),酒店,北京,http://p1.meituan.net/tdchoteldark/2ac6adc3e7250260015d7a567df54a49628760.jpg%40300w_1e_1l%7Cwatermark%3D0
70,如家商旅酒店(北京南礼士路地铁站店),酒店,北京,http://p1.meituan.net/tdchoteldark/11349a4f40c49251d72f43cccd4950332374461.jpg%40300w_1e_1l%7Cwatermark%3D0
71,7天优品(北京天安门广场店),酒店,北京,http://p1.meituan.net/tdchotel/9ef1ab98b62010b3352e8465474a88b1119663.jpg%40300w_1e_1l%7Cwatermark%3D0
72,如家旗下-北京西直门北京北站派柏·云酒店,酒店,北京,http://p1.meituan.net/tdchoteldark/3e18cf96d05047b66fc878e1d9e667063420264.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
73,如家酒店·neo(北京平安里地铁站店),酒店,北京,http://p1.meituan.net/tdchoteldark/a4f0c4d9d27a908c44fcd60df5ab7e866273780.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
